Title,Description
Turn it off,Turn off your lights when you leave the room
Take the stairs,If you can take the stairs instead of the elevator
Unplug,Unplug your electronics when you aren't using them
LED Bulbs,Switch to CFL light bulbs that are more efficient
Loaded Laundry,Only do full loads of laundry and use colors cycle when possible
Shorter Showers,The less hot water you use the less energy is needed to heat the water
Recycle,"Recycle carefully so that aluminum cans, plastic, glass, and paper are properly handled"
Reuse,"Donate old electronics , furniture, and school supplies rather than throwing them out"
Ride a bike,For small distances try riding a bike instead of driving
Take public transport,If possible take public transportation like busses or the subway instead of driving